Level	ID	Inference	Priority	Category	Question (Dev/Non-Dev Friendly)	Skip Condition	Skip Note	Why LLM Wins (or Loses)	Structural Validator
L1	L1.12	High	Standard	Performance	How fast does this need to feel? Instant (like a game), brisk (like a website), or is 'processing in the background' okay?	domain in ['chat', 'gaming', 'trading', 'search']	Assuming <200ms response time based on real-time domain	LLM knows that "Chat App" = <100ms and "Report Gen" = <5s	FALSE
L1	L1.11	High	Standard	Availability	Can the system go down for maintenance occasionally (nights/weekends), or does it need to be live 24/7/365?	domain in ['healthcare', 'finance', 'emergency']	Assuming 99.99% uptime based on critical domain	LLM knows that a "Hospital System" needs 99.99% and a "Hobby Blog" needs 99%	FALSE
L1	L1.16	High	Standard	Trade-off	Which is more important right now: getting a prototype working fast, or building it perfectly to handle millions of users later?	prompt contains ['MVP', 'prototype', 'proof of concept']	Assuming speed over robustness based on MVP context	LLM detects "MVP" vs "Enterprise" intent from the prompt tone	FALSE
L1	L1.14	High	Standard	Security	How should users get in? (e.g., Google Login, corporate SSO, or just a simple email/password?)	domain is B2B enterprise	Assuming SSO/SAML based on enterprise context	LLM knows standard auth patterns for B2B vs B2C	FALSE
L1	L1.18	High	Standard	Trade-off	Is it more important that data is always perfectly accurate, or that the system is always available even if slightly stale?	domain in ['finance', 'healthcare', 'legal']	Assuming strong consistency based on regulated domain	LLM knows CAP theorem trade-offs by domain	FALSE
L1	L1.19	High	Standard	Trade-off	Should we build custom solutions, or use off-the-shelf tools wherever possible?	prompt contains ['fast', 'budget', 'MVP']	Assuming off-the-shelf preference based on speed/budget context	LLM knows build vs buy trade-offs	FALSE
L1	L1.15	Medium	Standard	Recovery	If the database crashes, how much data can we afford to lose? (None, 1 hour's worth, or just restart?)	None	N/A	LLM can guess, but "Zero Data Loss" is expensive, so user confirmation needed	FALSE
L1	L1.06	Medium	Standard	Platform	Where will people use this? (Web browser, iPhone app, Android app, or Desktop software?)	None	N/A	Often implied ("Build an app"), but "Web App" vs "Mobile App" is distinct	FALSE
L1	L1.08	Medium	Standard	Scale	Roughly how many people will use this at once? (10 people, 10,000 people, or millions?)	None	N/A	LLM can infer scale from problem description (e.g., "HR tool" = Low, "Social Network" = High)	FALSE
L1	L1.09	Medium	Standard	Data Volume	How much data are we storing? (Text documents, giant video files, or millions of sensor readings?)	None	N/A	Implied by domain, but specific volume impacts storage costs	FALSE
L1	L1.17	Medium	Standard	Trade-off	Are we optimizing for lowest monthly hosting cost, or highest possible performance?	None	N/A	Hard to guess the user's wallet size	FALSE
L1	L1.07	Low	Critical	Integration	Does this system need to talk to any specific existing software you already use? (e.g., Salesforce, SAP, a specific legacy database?)	None	N/A	Zero Inference. LLM cannot know your internal IT stack	FALSE
